,open,high,low,close,volume,datetime
0,1668.74,1840.0,1543.84,1816.75,121984.88242561009,2021-03-29
1,2133.15,2146.0,1772.21,2133.78,140184.4347606508,2021-04-05
2,2114.25,2198.85,1930.02,2081.84,134352.1031234708,2021-04-12
3,2426.79,2549.0,1954.47,2299.87,246001.59372615922,2021-04-19
4,2370.72,2645.19,2051.2,2534.13,223216.5541559196,2021-04-26
5,2952.45,3458.0,2485.73,3432.47,175860.04940905108,2021-05-03
6,3432.66,4345.44,3161.56,3918.21,212594.76381919082,2021-05-10
7,4080.6,4384.16,3114.5,4080.81,324729.65552847076,2021-05-17
8,3378.97,3568.69,1728.65,2650.46,663443.8814372186,2021-05-24
